"redcap_repeat_instance_dv","avg_koosp","sd_koosp","n_koosp","avg_koosadl","sd_koosadl","n_koosadl","avg_kdp","sd_kdp","n_kdp","avg_kdf","sd_kdf","n_kdf","avg_kds","sd_kds","n_kds"
0,64.6012931031034,11.8306876197012,58,74.5933696748276,15.5926177059889,58,5.63362068965517,2.70729015695592,58,17.2765086206897,10.6029800401765,58,3.1551724137931,1.42412452808957,58
1,69.3899782129412,10.1757730330644,51,78.4066567805882,13.68163708083,51,4.47058823529412,2.19410976185304,51,14.6834733893529,9.30351321508781,51,2.56862745098039,1.34543527470903,51
2,68.3035714285357,13.8189073875327,56,76.57727153375,17.3909527918359,56,4.8125,3.09444149755948,56,15.9274553571429,11.8258478985948,56,2.66071428571429,1.60993264358579,56
3,69.7777777776,11.4687345424873,50,78.5882352936,14.4355637346755,50,4.4,2.56347977784662,50,14.56,9.81618333962558,50,2.44,1.52743616052842,50
4,71.5932914041509,13.7346295574838,53,80.6289308169811,14.1396296091068,53,4.11320754716981,2.75723089459258,53,13.1723270439623,9.6149481342481,53,2.58490566037736,1.54961486858151,53
5,71.3141025644231,16.0725738656213,52,79.2269984911539,18.0048279565079,52,4.23076923076923,3.47323313589652,52,14.1256410256346,12.2432830108589,52,2.17307692307692,1.79018187099013,52
6,73.2238247863462,13.8550878595155,52,80.4616798638462,15.2299191824804,52,4.03846153846154,2.86261596022704,52,13.2860576923077,10.3563450446034,52,1.98076923076923,1.52740180025652,52
7,74.0000000002,13.4307664536797,50,82.3124999992,14.2535301538891,50,3.82,2.70818864082355,50,12.0275,9.6924005050875,50,1.84,1.33033676877975,50
8,74.3794326234043,13.9003832586232,47,82.2805851057447,15.164847022049,47,3.67021276595745,2.83615361802757,47,12.0492021276596,10.3120959750418,47,1.82978723404255,1.43434804059985,47
9,76.8707482987755,12.5563001036629,49,84.5044267702041,13.5812905044014,49,3.3469387755102,2.65793638944579,49,10.5369897959184,9.23527754302862,49,1.81632653061224,1.56356256387663,49
10,75.1558956914286,15.3088287315466,49,81.9027611038776,16.9096441590018,49,3.66326530612245,3.06082055158083,49,12.3061224489796,11.4985580284962,49,1.83673469387755,1.67514848565122,49
11,77.4376417238775,13.401550186896,49,84.8251800714286,13.6095540706496,49,3.20408163265306,2.72319964867261,49,10.3188775510204,9.25449676819926,49,1.6530612244898,1.36245826248249,49
12,77.9195011334694,13.825796796283,49,85.2265906359184,14.0769073412064,49,3.16836734693878,2.66799499229507,49,10.0459183673469,9.57229699246462,49,1.79591836734694,1.63273277866607,49
13,77.2986111112,13.5569913724766,50,84.0772058816,13.7451046241157,50,3.08,2.69421148208601,50,10.8275,9.34667114429474,50,1.8,1.42857142857143,50
14,76.6559829055769,13.8971611027414,52,84.7341628959615,13.5061147685274,52,3.19230769230769,2.77268512554705,52,10.3807692307692,9.18415804282054,52,1.76923076923077,1.39488399426836,52
15,77.7391975311111,14.5506454514606,45,84.7834967313333,15.005659906563,45,3.03333333333333,2.88097205817759,45,10.3472222222222,10.2038487366485,45,1.64444444444444,1.44844047098243,45
16,75.9803921564706,13.820091044231,51,83.7946943476471,13.2041797538954,51,3.52941176470588,2.73753861106265,51,11.0196078431373,8.97884223289046,51,1.74509803921569,1.36884092947138,51
17,77.1913580248889,12.9114348342083,45,84.8786181137778,13.5178089352883,45,3.07222222222222,2.67385395066652,45,10.2825396824444,9.19211007597437,45,1.71111111111111,1.44004769842439,45
18,77.8370596207317,12.4497210361818,41,86.8364418929268,12.2992144806534,41,2.98170731707317,2.48016521872941,41,8.95121951219512,8.3634658471001,41,1.39024390243902,1.18063645506328,41
19,77.5883838390909,14.1182321351347,44,85.5740307481818,13.5472664727076,44,2.95454545454545,2.99576868618751,44,9.80965909090909,9.21214120173009,44,1.68181818181818,1.37710054813065,44
20,77.3809523807143,13.4544032966199,28,87.0419730382143,12.2834338593416,28,2.85714285714286,2.57788724452848,28,8.81145833332143,8.35273502442301,28,1.82142857142857,1.38920631293346,28
21,75.1461988315789,14.8573949494487,19,82.8028250768421,15.4892730172603,19,3.52631578947368,2.969631871174,19,11.6940789473684,10.5327056514764,19,1.89473684210526,1.52369203807744,19
22,75.4629629616667,13.078191565569,6,85.75367647,11.3088079928429,6,3,2.60768096208106,6,9.6875,7.68998943432304,6,2.33333333333333,0.516397779494322,6
23,77.777777775,15.8763224067984,4,87.4999999975,11.4227256847695,4,3.25,2.98607881119482,4,8.5,7.76745346515403,4,1.5,1,4
24,63.88888889,11.7851130150618,2,81.617647055,15.5979437030604,2,5.5,2.12132034355964,2,12.5,10.6066017177982,2,2.5,0.707106781186548,2
25,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
