"eval2_visit","avg_kosa","sd_kosa","n_kosa","avg_kosg","sd_kosg","n_kosg","avg_kosp","sd_kosp","n_kosp","avg_ps1","sd_ps1","n_ps1","avg_ps2","sd_ps2","n_ps2","avg_ps3","sd_ps3","n_ps3"
1,68.2037037037037,15.2553975967551,54,57.2978723404255,17.1881087479447,47,3,1.65551826952793,55,2.35087719298246,1.71642514786417,57,1.53448275862069,1.62454330685207,58,3.96491228070175,1.95452690915129,57
2,75.875,13.3282815184589,52,62.5090909090909,17.4672950769831,55,2.66666666666667,1.75594229214212,57,1.93103448275862,1.72557713676626,58,1.2,1.87580491197689,60,3.31666666666667,2.07888225073701,60
3,74.7907407407407,14.9786296639833,54,65.1372549019608,16.8878886872731,51,2.57142857142857,1.87671999032299,56,1.66071428571429,1.62118683477468,56,1,1.45227094892479,56,3.5,2.00706300020514,54
4,76.8104166666667,13.2274254033587,48,65.6530612244898,19.70992878011,49,2.45283018867925,1.89702234016132,53,1.50943396226415,1.7718161207494,53,0.907407407407407,1.47005992072097,54,3.18518518518519,2.02879343336084,54
5,76.5267857142857,16.6182538309418,56,69,15.0633880776324,54,2.55357142857143,2.06194650188199,56,1.32758620689655,1.71052398901605,58,1.01724137931034,1.79170975201083,58,3.12068965517241,2.27940886617328,58
6,81.6557692307692,12.5872081575146,52,67.5818181818182,18.1022721196058,55,2.07142857142857,1.68260774726875,56,1,1.29559693908693,57,0.736842105263158,1.26104146002809,57,2.70175438596491,1.85130178408042,57
7,79.1553571428571,14.2060412199478,56,68.3965517241379,16.5465209733599,58,2.45762711864407,2.12799107058589,59,1.35593220338983,1.66880828700383,59,0.966666666666667,1.58345970355054,60,3.05,2.24306841897509,60
8,79.6327272727273,15.4327460236877,55,69.9818181818182,17.5398920021707,55,2.17857142857143,1.94569121026803,56,1.33898305084746,1.88103208547976,59,0.949152542372881,1.56935885012561,59,2.96610169491525,2.18904877542826,59
9,79.4703703703704,15.1189825657186,54,72.9245283018868,16.3916595309038,53,2.03571428571429,1.67293194682309,56,1.15789473684211,1.555973210431,57,0.833333333333333,1.50157150383592,54,2.96491228070175,2.18734111488862,57
10,81.5075471698113,14.512538995596,53,75.7241379310345,12.6640714378967,58,1.83333333333333,1.70906522836382,60,1.25,1.53628431337608,60,0.745762711864407,1.38456043490198,59,2.55,2.08647785286796,60
11,80.0518518518519,14.2309620027884,54,73.6666666666667,14.969150667226,54,1.81818181818182,1.70066336829365,55,1.07272727272727,1.39913393125024,55,0.701754385964912,1.32240193102094,57,2.58928571428571,2.02508617741913,56
12,81.5648148148148,14.0633761936833,54,75.8181818181818,15.5207041042685,55,1.96428571428571,1.68376510685574,56,0.982758620689655,1.39537304715042,58,0.689655172413793,1.30056528265461,58,2.52631578947368,1.85265507503897,57
13,82.8070175438596,13.5703966102838,57,76.2982456140351,15.1492160479402,57,1.70175438596491,1.6686704746241,57,0.910714285714286,1.29722481004343,56,0.649122807017544,1.20254533728278,57,2.32142857142857,1.74884006085221,56
14,84.258,12.413769346486,50,77.08,16.0697967425521,50,1.62,1.55037849230043,50,0.754716981132076,1.26954959271387,53,0.584905660377358,1.02720611114568,53,2.30188679245283,1.93733466451261,53
15,82.3433962264151,12.712811669789,53,78.6538461538462,14.5317564561672,52,1.63636363636364,1.55591626409503,55,0.927272727272727,1.37240725861593,55,0.745454545454545,1.29412034786085,55,2.01818181818182,1.77941843486291,55
16,83.0888888888889,13.3990941212621,54,75.8888888888889,16.1591923330142,54,1.50909090909091,1.52598149681427,55,0.818181818181818,1.37559292388987,55,0.566037735849057,0.970912219003428,53,1.94545454545455,1.5918563798304,55
17,83.3415094339623,14.2354167478682,53,76.3396226415094,16.6963185673075,53,1.69811320754717,1.67084623493119,53,0.943396226415094,1.47302794296467,53,0.830188679245283,1.51576141131222,53,2.35849056603774,2.04839843275969,53
18,84.2846153846154,11.5266848900737,52,77.6153846153846,16.8966336665306,52,1.64150943396226,1.63017624840716,53,1.03636363636364,1.4525027744429,55,0.574074074074074,1.07461009781875,54,2.22641509433962,1.90789361735721,53
