"eval2_visit","avg_prept","sd_prept","n_prept","avg_postpt","sd_postpt","n_postpt","avg_meppt","sd_meppt","n_meppt"
1,1.54347826086957,1.50120724365618,46,1.90909090909091,1.70026735865542,11,0.181818181818182,0.603022689155527,11
2,1.76271186440678,1.61179898475914,59,1.21276595744681,1.55948946792052,47,-0.48936170212766,0.952624302639634,47
3,1.72413793103448,1.72487582515966,58,0.803921568627451,1.40028008402801,51,-0.823529411764706,1.54539163130827,51
4,1.4,1.72776884599335,55,0.96,1.74916889885874,50,-0.36,1.08345629862049,50
5,1.36206896551724,1.69310548123822,58,0.928571428571429,1.34647206171796,56,-0.375,1.25860673329317,56
6,1.07017543859649,1.39974039841586,57,0.910714285714286,1.31116583396451,56,-0.125,0.810443200858754,56
7,1.23728813559322,1.39381618353264,59,1.03448275862069,1.47452659356694,58,-0.172413793103448,1.25848601654587,58
8,1.29310344827586,1.68594416974486,58,0.732142857142857,1.4708200733984,56,-0.571428571428571,1.21889880044009,56
9,1.32758620689655,1.81985088105594,58,0.771929824561403,1.48825813644736,57,-0.543859649122807,1.6264573183829,57
10,1.32786885245902,1.50245700410372,61,0.733333333333333,1.38841046373873,60,-0.55,0.832089467158389,60
11,1.03448275862069,1.42614087591063,58,0.754385964912281,1.43029344834231,57,-0.263157894736842,0.695041514419763,57
12,0.949152542372881,1.4071704160399,59,0.793103448275862,1.46009637617083,58,-0.137931034482759,0.712009162716249,58
13,0.964912280701754,1.4511683997079,57,0.678571428571429,1.29484492377403,56,-0.267857142857143,0.841882553427872,56
14,0.788461538461538,1.30363802358282,52,0.568627450980392,1.13586798459653,51,-0.215686274509804,0.855890775512765,51
15,0.875,1.2513628933723,56,0.6,1.22625596989524,55,-0.254545454545455,0.865344757204635,55
16,0.905660377358491,1.36246596207866,53,0.549019607843137,1.25401316564374,51,-0.352941176470588,0.795576002950434,51
17,0.886792452830189,1.42316517986238,53,0.584905660377358,1.4064954027127,53,-0.25,0.737643306116732,52
18,1.01818181818182,1.42062726222673,55,0.471698113207547,1.03038031785329,53,-0.415094339622642,1.04575997878891,53
